id,"genre","name",calorie,"created_at","updated_at"
22,"野菜","豆のサラダ",200,"2017-10-24 09:36:32","2017-10-24 09:36:32"
23,"野菜","大根サラダ",110,"2017-10-24 09:36:33","2017-10-24 09:36:33"
25,"野菜","シーザーサラダ",264,"0000-00-00 00:00:00","0000-00-00 00:00:00"
28,"野菜","筑前煮",181,"0000-00-00 00:00:00","0000-00-00 00:00:00"
40,"肉のおかず","から揚げ",452,"2017-10-24 09:36:28","2017-10-24 09:36:28"
41,"肉のおかず","おろしから揚げ",397,"2017-10-24 09:36:28","2017-10-24 09:36:28"
42,"肉のおかず","餃子",466,"2017-10-24 09:36:28","2017-10-24 09:36:28"
43,"肉のおかず","水餃子",403,"0000-00-00 00:00:00","0000-00-00 00:00:00"
44,"肉のおかず","シューマイ",175,"2017-10-24 09:36:28","2017-10-24 09:36:28"
45,"肉のおかず","豚のしょうが焼き",342,"2017-10-24 09:36:28","2017-10-24 09:36:28"
46,"肉のおかず","肉じゃが",373,"2017-10-24 09:36:28","2017-10-24 09:36:28"
47,"肉のおかず","酢豚",432,"2017-10-24 09:36:28","2017-10-24 09:36:28"
48,"肉のおかず","豚バラ大根",400,"2017-10-24 09:36:28","2017-10-24 09:36:28"
49,"肉のおかず","豚バラカルビ焼き肉",375,"0000-00-00 00:00:00","0000-00-00 00:00:00"
50,"肉のおかず","豚肉の甘辛みそ炒め",354,"2017-10-24 09:36:28","2017-10-24 09:36:28"
51,"肉のおかず","豚肉のザーサイ炒め",306,"2017-10-24 09:36:28","2017-10-24 09:36:28"
52,"肉のおかず","煮豚",475,"0000-00-00 00:00:00","0000-00-00 00:00:00"
53,"肉のおかず","豚の角煮",343,"0000-00-00 00:00:00","0000-00-00 00:00:00"
54,"肉のおかず","豚肉の梅チーズはさみ揚げ",378,"2017-10-24 09:36:35","2017-10-24 09:36:35"
55,"肉のおかず","ポークソテー",465,"0000-00-00 00:00:00","0000-00-00 00:00:00"
56,"肉のおかず","ハニーマスタードポークソテー",374,"2017-10-24 09:36:28","2017-10-24 09:36:28"
57,"肉のおかず","豚バラカルビ焼き肉",375,"2017-10-24 09:36:28","2017-10-24 09:36:28"
58,"肉のおかず","チキン南蛮",313,"2017-10-24 09:36:28","2017-10-24 09:36:28"
59,"肉のおかず","手羽先のから揚げ",271,"2017-10-24 09:36:35","2017-10-24 09:36:35"
